Column1,IN_PERSONAL_ANNO,IN_PERSONAL_MES,VC_PERSONAL_REGIMEN_LABORAL,VC_PERSONAL_CARGO,VC_PERSONAL_DEPENDENCIA,MO_PERSONAL_REMUNERACIONES,MO_PERSONAL_HONORARIOS,MO_PERSONAL_INCENTIVO,MO_PERSONAL_GRATIFICACION,MO_PERSONAL_OTROS_BENEFICIOS,MO_PERSONAL_TOTAL,VC_PERSONAL_OBSERVACIONES,FEC_REG,gender,male,female
798,2019,7,2,ABOGADO IV,PROCURADURÃA PÃšBLICA,0,0,0,300,0,0,LICENCIA SIN GOCE,8/14/2019 10:09:16 AM,male,1,0
858,2019,7,2,ABOGADO IV,OFICINA GENERAL DE ASESORÃA JURÃDICA,655.57,0,2783,300,0,3438.9,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
887,2019,7,2,ABOGADO IV,PROCURADURÃA PÃšBLICA,532.77,0,2783,300,0,3316.1,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
897,2019,7,2,ABOGADO IV,PROCURADURÃA PÃšBLICA,602.62,0,3013,300,0,3615.95,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
673,2019,7,2,ANALISTA DE SISTEMA PAD III,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,605.62,0,3013,300,0,3618.95,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
3,2019,7,5,ASESOR I,SG,0,15000,0,0,0,15000,,8/12/2019 09:40,female,0,1
8,2019,7,4,ASESOR I,DESPACHO MINISTERIAL,0,20500,0,0,0,20500,,8/12/2019 09:47,male,1,0
17,2019,7,4,ASESOR II,DESPACHO MINISTERIAL,0,21233.33,0,0,0,21233.33,INICIO DE CONTRATACION 03/07/2019,8/12/2019 09:47,male,1,0
9,2019,7,4,ASESOR II - Jefe de Gabinete,GABINETE DE ASESORES,0,25000,0,0,0,25000,,8/12/2019 09:47,female,0,1
719,2019,7,2,ASIST. EN SERVICIO ECONOMICO FINANCIERO II,DIRECCIÃ“N DE NEGOCIOS AGRICOLAS,655.57,0,3013,300,0,3668.9,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
937,2019,7,3,ASISTENTE EN SERVICIO ECONOMICO FINANCIERO,DIRECCIÃ“N GENERAL DE INFRAESTRUCTURA AGRARIA Y RIEGO,3346.93,0,0,3648,0,3346.93,NINGUNA,8/14/2019 10:11:52 AM,male,1,0
757,2019,7,2,AUX. ADMINISTRATIVO I,DIRECCION GENERAL AGRICOLA,499.48,0,2583,300,0,3082.81,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
25,2019,7,1,AUXILIAR,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,1500,0,0,0,300,1800,,8/13/2019 5:16:32 PM,female,0,1
31,2019,7,1,AUXILIAR,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,1500,0,0,0,300,1800,,8/13/2019 5:16:32 PM,female,0,1
40,2019,7,1,AUXILIAR,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,4300,0,0,0,300,4600,,8/13/2019 5:16:32 PM,male,1,0
47,2019,7,1,AUXILIAR,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,1500,0,0,0,300,1800,,8/13/2019 5:16:32 PM,female,0,1
